n;jacobi;seidel;gauss;gauss_pivot
20;0.246241;0.14217600000000002;0.009828;0.012754
40;0.42759199999999997;0.246982;0.044514;0.07156399999999999
60;0.876692;0.46728499999999995;0.169768;0.172374
80;1.757702;0.890728;0.337984;0.547876
100;2.60027;1.3196210000000002;0.645818;0.773368
120;31.752467000000003;15.788163;1.076816;1.148892
140;17.81999;8.972235999999999;1.773984;1.739568
160;15.162472000000001;7.716262;2.492279;2.605772
180;32.337140000000005;16.169136;3.510026;3.7160710000000003
200;19.432888;9.618168;4.94355;5.121704
220;59.679748000000004;29.920234999999998;6.329766;6.675184
240;78.75132099999999;39.715199999999996;8.309656;8.698162
260;117.086128;60.015775000000005;10.835276;10.917309
280;33.508725999999996;17.022736;13.062197999999999;13.627346
300;207.668456;104.66281699999999;16.146354000000002;16.59315
320;74.508432;36.43085000000001;19.580354;20.159689999999998
340;84.92240000000001;42.436178;23.427232000000004;24.273698
360;104.39204000000001;56.869645;39.857377;28.627844
380;215.249518;108.128107;32.671428;33.977564
400;496.42666799999995;250.80635;38.223678;39.314530000000005
420;155.82113199999998;78.47348;43.950124;45.356328000000005
440;221.084096;110.90094400000001;50.737448;51.899022
460;195.559576;99.17129;58.94416;59.256916000000004
480;135.138942;68.046828;67.878206;69.82052200000001
500;177.307498;88.97960800000001;73.93447;76.94107
520;275.46024;141.452048;83.975044;85.63866999999999
540;290.692272;149.832354;93.677448;95.631058
560;204.93501600000002;103.82154;104.642808;105.916834
580;317.526466;168.22214200000002;118.341668;118.25766
600;380.658549;179.83014500000002;128.63577800000002;130.88974100000001
620;365.189374;185.830312;141.471224;144.130492
640;533.3453460000001;264.27321600000005;160.458218;198.2213
660;840.187402;414.77069400000005;169.742408;173.867454
680;438.624586;219.37612000000001;184.68274300000002;188.727992
700;365.88683000000003;183.56461000000002;201.350134;204.629747
720;503.382004;252.896706;219.183456;229.105072
740;1961.66338;981.14397;238.04696;241.076695
760;395.17953;199.244578;257.443222;260.566633
780;273.361676;137.722042;277.667923;282.653797
800;328.56503200000003;171.39068600000002;299.06271;304.60632599999997
820;590.2772600000001;297.964974;325.609964;331.072257
840;885.610276;439.29112499999997;347.759434;351.981864
860;912.0316519999999;454.54073800000003;372.234718;378.38906700000007
880;801.6517180000001;402.80363;397.996274;406.170745
900;1012.6800969999999;504.180559;427.23111300000005;433.615952
920;475.820178;239.62884200000002;455.428271;460.519998
940;1450.704374;731.9015790000001;497.81161;494.898413
960;703.4812440000001;352.391491;519.412583;538.617782
980;1217.2393240000001;608.7857759999999;552.605095;560.155178
1000;957.504411;478.366627;587.637554;591.0177779999999
1020;1697.791466;848.710726;621.9729199999999;626.976172
1040;1620.174796;802.6560420000001;663.6658259999999;665.4141480000001
1060;677.770395;345.489414;702.80132;706.556574
1080;1191.261806;611.665814;745.037694;747.1454659999999
1100;1902.289926;953.011616;781.732246;786.5467140000001
1120;1199.469528;601.287088;826.141102;829.95818
1140;1890.553582;943.041195;891.820608;883.709392
1160;1971.0481439999999;964.6157499999999;1059.849338;933.733052
1180;1595.974179;808.827346;1023.7901059999999;977.709944
1200;1157.441871;582.604234;1038.506843;1036.10195
1220;1806.250696;902.761673;1075.991548;1079.655972
1240;1066.365698;545.446505;1137.9270270000002;1137.302662
1260;1351.546042;678.767058;1187.160486;1190.0685859999999
1280;2726.809874;1885.800964;1242.57771;1261.774138
1300;1326.386818;1142.261215;1301.6393779999999;1312.696718
1320;1402.7279830000002;709.481978;1378.875916;1385.204104
1340;1971.567572;991.0505;1447.52332;1444.551285
1360;1653.239178;1335.047264;1514.9573690000002;1527.864524
