n;jacobi;gauss;gauss_pivot
10;0.127198;0.014478;0.013104
20;0.845126;0.038082;0.049884
30;2.769643;0.068038;0.095668
40;7.128366;0.117952;0.170830
50;13.591976;0.181130;0.260980
60;22.479422;0.266028;0.399360
70;35.751098;0.420238;0.588974
80;56.117886;0.446848;0.644118
90;79.481114;0.586068;0.831588
100;105.688797;0.712946;1.024182
110;138.313713;0.895048;1.323252
120;180.937060;1.080054;1.597206
130;237.185463;1.431034;1.951628
140;284.326569;1.725366;2.409338
150;349.834512;2.280384;3.193378
160;444.423362;1.783364;2.597170
170;535.854868;2.056848;3.027136
180;626.319658;2.333976;3.400384
190;783.305328;2.529194;3.893852
200;848.483538;3.473494;4.560281
210;961.061466;3.173920;4.699211
220;1090.247480;3.505232;5.100064
230;1247.165656;3.884452;5.802732
240;1401.017198;4.499276;6.586702
250;1569.456392;4.991750;7.111584
260;1765.962324;5.549676;8.069612
270;1957.203528;6.248518;8.847752
280;1149.341003;6.588402;9.499974
290;1369.716196;8.481054;11.735196
300;1626.080348;10.195348;13.421798
