n;jacobi;seidel;gauss;gauss_pivot
10;0.149400;0.086492;0.003096;0.003076
20;1.230036;0.627917;0.013174;0.012032
30;5.132574;2.705793;0.024656;0.028704
40;15.573564;7.981577;0.049702;0.050966
50;36.528146;18.474844;0.084890;0.098494
60;73.689886;37.252343;0.138750;0.158928
70;136.758036;68.275646;0.218119;0.267742
80;235.735524;119.330562;0.318236;0.363272
90;388.695202;195.175418;0.445426;0.546054
100;614.979412;306.161458;0.642674;0.678672
110;924.287981;460.806059;0.875450;0.900288
120;1335.095292;687.621703;1.127364;1.208124
130;1893.767560;968.044671;1.392340;1.471880
140;1533.784258;1248.907500;1.711418;1.814712
150;2312.655730;1655.922848;2.122318;2.167474
160;2277.965174;1185.406600;2.476464;2.826449
170;3670.436396;1870.904620;3.180394;3.234214
180;4146.186882;2713.057454;4.023263;3.820512
190;5252.668034;2418.861626;4.373250;4.267352
200;6072.617392;3697.083369;5.353848;5.492750
210;7617.423901;3674.435236;5.624016;5.957953
220;8926.155004;4906.067962;6.490421;6.703440
230;9872.798218;5409.585529;7.321898;7.609478
240;11639.648692;6419.896835;8.434485;8.584818
250;13914.205270;7405.329470;9.395338;9.601675
260;15926.244384;8496.784946;10.722536;11.652300
270;18988.853781;9253.747966;11.850952;12.240582
280;21783.080204;11254.504598;13.222443;14.177103
290;25178.680466;12308.435465;14.663946;15.077522
300;28717.153422;14855.345382;16.232408;16.696128
