n;jacobi;seidel;gauss;gauss_pivot
10;0.44444444444444386;0.44444444444444386;0.44444444444444436;0.44444444444444436
20;0.4736835084816197;0.4736842105256509;0.4736842105263157;0.4736842105263157
30;0.48097727418822567;0.4827540323296233;0.4827586206896545;0.4827586206896545
40;0.4623575496008937;0.4862757257556709;0.4871794871794849;0.4871794871794849
50;0.4083811278732372;0.4798859541591176;0.4897959183673431;0.4897959183673431
60;0.33720693872248153;0.45570437174443723;0.4915254237288084;0.4915254237288084
70;0.2672576922439776;0.41548887817120783;0.4927536231883998;0.4927536231883998
80;0.2054677420867619;0.3667702767847058;0.4936708860759433;0.4936708860759433
90;0.1546683627026075;0.3163176673125173;0.49438202247190427;0.49438202247190427
100;0.11361756380055552;0.26826314426397657;0.4949494949494891;0.4949494949494891
110;0.08193846212304146;0.22458531212564192;0.4954128440366916;0.4954128440366916
120;0.057600145611303194;0.18597525005157892;0.495798319327725;0.495798319327725
130;0.039779279290192066;0.15246822345374444;0.4961240310077441;0.4961240310077441
140;0.026730940088842844;0.1237968783240901;0.49640287769783303;0.49640287769783303
150;0.01766223133406788;0.09956241815865757;0.4966442953020032;0.4966442953020032
160;0.011333898333184579;0.07931318926005175;0.4968553459119385;0.4968553459119385
170;0.007159477052392626;0.06258297078769849;0.4970414201183318;0.4970414201183318
180;0.0043833839725664564;0.04891277594242249;0.4972067039106029;0.4972067039106029
190;0.002645529839144204;0.03786515204789296;0.4973544973544864;0.4973544973544864
200;0.0015441991151714904;0.029033963414341855;0.49748743718591976;0.49748743718591976
210;0.0008899859647693024;0.02205069441675688;0.49760765550238356;0.49760765550238356
220;0.0004949288624953264;0.01658783205054005;0.497716894977162;0.497716894977162
230;0.00027227629525314746;0.012359824453794778;0.49781659388645716;0.49781659388645716
240;0.00014416996130380108;0.009122121100674084;0.49790794979079217;0.49790794979079217
250;0.00007567746077297998;0.0066687932271769;0.4979919678714862;0.4979919678714862
260;0.00003813256339562526;0.00482919709131286;0.49806949806950135;0.49806949806950135
270;0.000019092855250049786;0.0034640843138878078;0.49814126394052705;0.49814126394052705
280;0.000009150427545675667;0.002461492414607585;0.4982078853046691;0.4982078853046691
290;0.0000043689168738814745;0.0017326735246274833;0.4982698961937835;0.4982698961937835
300;0.000001990558621310013;0.0012082469870541776;0.4983277591973383;0.4983277591973383
