n;jacobi;seidel;gauss;gauss_pivot
10;0.13347;0.09212200000000001;0.013776;0.012452000000000001
20;0.376355;0.521767;0.032761;0.044214
30;0.540702;0.967101;0.055564;0.083166
40;0.755665;1.5994160000000002;0.095328;0.145182
50;0.9294119999999999;2.458514;0.142256;0.223949
60;1.11507;3.451836;0.20152799999999998;0.31604200000000005
70;1.312628;4.647244000000001;0.332602;0.48922600000000005
80;1.52192;6.238716;0.358962;0.545392
90;1.7554880000000002;8.247478000000001;0.431658;0.711903
100;1.886954;10.520298;0.579656;0.89165
110;2.622222;12.983189;0.722082;1.140848
120;2.265754;16.045302;0.8511139999999999;1.339118
130;3.131646;20.829004;1.092958;1.736123
140;2.693836;22.151724;1.3665889999999998;2.0570630000000003
150;3.1451000000000002;25.922776;1.6260750000000002;2.492979
160;3.239038;29.643796;1.317838;2.17257
170;3.4425800000000004;33.792066;1.5055800000000001;2.45028
180;4.032494;38.35812;1.677192;2.750792
190;3.761196;43.854354;1.9412470000000002;3.14992
200;4.667063000000001;48.299962;2.104712;3.425356
210;4.086352;53.689362;2.424632;3.9089020000000003
220;4.301526;58.626226;2.593658;4.240081999999999
230;4.451888;64.61880000000001;2.9165219999999996;4.910226
240;4.63906;70.19414;3.5098640000000003;5.411626999999999
250;4.982602;76.527624;3.536234;5.621119
260;5.18357;82.75669400000001;4.1286640000000006;6.59348
270;5.236098;89.617035;5.317732;8.169652
280;5.542242;97.773262;5.399624;8.776198
290;5.495724;104.617063;6.0669640000000005;8.986884
300;5.8292280000000005;113.502894;4.779784;8.262386
